id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
105,1,29,1,41,1,1,1,43046,163,222,0
107,0,23,1,41,1,1,0,36674,152,158,0
108,1,31,1,29,0,0,1,28867,124,247,0
109,1,72,1,46,1,0,1,28698,30,216,0
110,1,45,1,35,0,0,1,2630,124,275,0
111,1,27,1,8,1,1,0,31428,122,77,0
112,0,48,1,46,0,2,1,37379,11,139,0
113,0,33,1,30,1,1,0,24998,152,181,0
115,0,28,1,30,1,1,0,32830,152,275,0
116,0,32,1,46,0,0,1,34810,26,166,0
117,1,69,1,46,0,0,1,2630,11,16,0
118,0,32,1,27,1,1,0,22838,151,295,0
119,0,23,1,29,1,1,0,37983,152,23,0
120,0,23,1,25,0,1,0,2630,152,149,0
122,0,39,1,28,1,0,0,37243,124,31,0
123,1,37,1,13,0,0,1,30440,124,293,0
125,1,23,1,15,1,1,0,25605,160,256,0
126,1,49,1,28,0,0,1,2630,124,88,0
127,1,23,1,41,1,1,0,33307,152,147,0
128,0,22,1,25,0,1,1,23955,160,22,0
129,0,22,1,20,0,1,1,2630,152,219,0
130,0,27,1,41,1,1,0,22371,152,50,0
132,0,27,1,28,1,1,0,30005,152,92,0
133,1,28,1,37,1,1,0,32600,152,131,0
134,0,25,1,49,1,1,0,31680,152,66,0
135,0,27,1,8,1,1,0,40651,152,260,0
137,0,59,1,39,0,0,1,32775,124,158,0
138,0,23,1,36,0,1,1,33638,160,22,0
139,1,36,1,28,1,0,0,2630,26,258,0
140,1,21,1,29,1,1,0,62164,152,116,0
141,0,21,1,46,1,1,0,27528,160,117,0
142,0,47,1,41,1,0,0,42080,124,62,0
143,1,25,1,28,1,1,0,36202,152,193,0
144,0,32,1,46,0,0,1,27320,156,204,0
145,1,21,1,3,1,1,0,40511,160,212,0
146,1,23,1,28,0,1,1,56589,152,144,0
147,0,27,1,30,1,1,0,33780,152,246,0
148,1,20,1,39,1,1,0,28329,160,78,0
150,0,22,1,11,1,1,0,76651,152,258,0
151,1,25,1,8,0,1,1,54385,152,206,0
152,1,27,1,28,0,1,1,26732,152,282,0
153,1,51,1,19,0,0,1,2630,124,228,0
154,1,53,1,28,1,0,0,40397,122,156,0
155,0,24,1,22,1,1,0,34591,152,125,0
156,0,49,1,28,0,0,1,32771,154,29,0
158,1,41,1,35,0,0,1,25112,154,221,0
159,0,23,1,47,0,1,1,28737,152,18,0
160,0,31,1,15,1,1,0,25908,152,84,0
161,1,20,1,3,1,1,0,41914,160,206,0
162,1,70,1,25,1,0,0,2630,124,230,0
163,1,78,1,28,1,0,0,42462,26,54,0
164,0,31,1,28,1,0,0,29395,26,123,0
165,0,48,1,36,1,0,0,2630,124,189,0
166,1,25,1,30,1,1,0,29396,152,22,0
168,0,26,1,8,0,1,1,89282,152,101,0
169,0,60,1,28,1,0,0,30386,26,114,0
170,0,28,1,8,1,1,0,31454,152,86,0
171,1,23,1,36,1,1,0,52462,152,243,0
172,1,22,1,36,1,1,0,36352,152,13,0
173,0,50,1,28,0,0,1,36282,26,237,0
174,0,33,1,36,1,1,0,40899,152,85,0
175,1,24,1,35,1,1,0,23540,152,98,0
176,0,22,1,36,1,1,0,34527,152,67,0
177,1,25,1,28,1,1,0,101021,152,49,0
178,1,60,1,45,0,0,0,42888,124,229,0
180,0,45,1,46,0,0,1,22689,26,95,0
181,1,30,1,28,1,0,0,40167,125,264,0
182,1,52,1,0,0,0,1,2630,124,89,0
183,1,47,1,15,1,0,0,29306,14,99,0
184,1,59,1,41,1,0,0,28821,26,29,0
185,0,51,1,28,0,0,1,57008,26,208,0
186,1,52,1,0,1,0,0,2630,26,134,0
187,1,48,1,8,0,2,1,44021,124,135,0
188,1,42,1,37,0,0,1,36532,124,268,0
189,0,45,1,28,0,0,1,25604,26,85,0
190,0,27,1,11,1,0,0,26756,124,254,0
191,0,28,1,8,1,1,0,37731,152,30,0
192,0,24,1,16,1,1,0,28190,152,284,0
193,1,32,1,46,1,1,0,23847,152,183,0
194,1,21,1,47,0,1,0,37028,160,119,0
195,1,39,1,28,1,0,0,29468,26,166,0
196,1,55,1,30,1,0,0,29215,26,226,0
197,0,56,1,15,0,0,0,29132,154,229,0
199,0,26,1,26,1,1,0,2630,152,142,0
200,0,42,1,28,0,0,1,40613,124,242,0
201,1,55,1,28,0,0,1,49470,124,203,0
203,1,22,1,11,1,1,0,21126,152,272,0
204,1,42,1,8,0,0,0,24224,154,66,0
206,1,21,1,30,0,1,1,26720,160,64,0
207,0,23,1,46,1,1,0,18682,152,57,0
208,0,21,1,6,0,1,1,19196,152,40,0
209,1,24,1,6,1,1,0,18576,151,245,0
210,1,26,1,37,0,1,1,57159,160,163,0
211,0,48,1,28,1,0,0,35945,124,24,0
212,1,45,1,28,0,0,1,33205,26,243,0
214,1,42,1,45,0,0,0,28759,25,102,0
215,1,44,1,2,0,0,0,34618,26,265,0
216,0,25,1,9,0,1,0,34280,160,202,0
217,0,60,1,28,0,2,1,65472,26,36,0
218,0,21,1,46,0,1,1,33245,152,259,0
219,1,22,1,15,0,1,1,32252,160,100,0
220,1,23,1,41,1,1,0,26285,152,91,0
221,0,44,1,28,1,0,0,2630,124,114,0
222,1,40,1,20,0,0,1,2630,26,204,0
223,1,21,1,27,1,1,0,45006,160,106,0
225,1,75,1,28,0,2,1,40765,124,162,0
226,0,53,1,28,1,0,0,44313,61,33,0
227,1,37,1,8,1,0,0,29099,152,194,0
228,1,29,1,28,1,1,0,44742,152,85,0
229,1,32,1,50,0,1,0,2630,1,287,0
230,0,64,1,28,1,0,1,41697,26,287,0
231,1,42,1,31,0,0,1,2630,124,181,0
232,1,24,1,47,0,1,1,36414,124,292,0
233,1,53,1,0,0,0,1,2630,26,69,0
234,1,62,1,15,0,0,0,44679,86,239,0
235,1,25,1,46,1,1,0,39914,152,235,0
237,0,48,1,33,0,0,1,44724,154,132,0
238,1,28,1,15,1,1,0,38339,152,245,0
239,1,33,1,3,1,0,0,27609,152,255,0
240,0,63,1,28,0,2,1,31004,26,281,0
241,1,22,1,46,1,1,0,30745,152,147,0
242,1,27,1,3,1,1,0,27181,152,125,0
243,0,36,1,28,0,0,1,40431,124,230,0
244,1,49,1,28,0,0,1,45558,26,49,0
245,0,39,1,46,0,0,0,35145,26,116,0
247,0,57,1,46,0,0,1,30777,26,158,0
249,0,25,1,27,0,1,0,2630,152,167,0
250,1,41,1,11,1,0,0,35614,26,152,0
251,1,33,1,31,1,1,0,2630,152,259,0
252,1,23,1,12,1,1,0,24886,26,111,0
253,0,20,1,34,0,1,1,33247,160,281,0
254,1,36,1,28,1,0,0,47682,124,121,0
255,1,21,1,13,1,1,0,37710,152,30,0
256,0,57,1,28,0,2,1,2630,26,71,0
257,1,25,1,28,1,1,0,43516,152,150,0
258,0,24,1,46,0,1,1,27141,152,246,0
259,1,67,1,28,1,0,0,31011,122,63,0
260,1,24,1,13,1,1,0,44603,152,207,0
262,0,22,1,12,1,1,0,29823,152,128,0
263,1,45,1,30,1,0,0,2630,26,121,0
264,1,22,1,36,1,1,0,2630,152,60,0
265,1,24,1,28,0,1,1,21583,152,143,0
266,0,22,1,11,1,1,0,32234,152,117,0
267,1,48,1,28,0,0,1,42028,26,77,0
268,0,28,1,21,1,1,0,26106,152,95,0
269,0,27,1,50,0,1,1,2630,160,83,0
270,1,49,1,46,1,0,0,2630,30,198,0
271,1,62,1,8,0,0,1,47272,26,194,0
272,1,45,1,28,0,0,1,42704,26,116,0
273,0,60,1,6,0,0,1,2630,157,143,0
274,0,20,1,17,0,0,0,2630,156,181,0
275,0,38,1,10,0,0,1,37039,124,103,0
276,0,52,1,31,0,0,1,2630,26,127,0
278,1,55,1,28,0,2,1,41246,26,285,0
279,0,20,1,35,0,1,1,34281,160,214,0
280,1,25,1,28,1,1,0,47031,26,151,0
281,1,25,1,39,0,1,0,2630,152,217,0
283,0,21,1,14,1,1,0,36712,152,56,0
284,1,40,1,48,0,2,1,2630,26,86,0
285,1,36,1,28,0,0,1,34165,124,143,0
286,1,42,1,15,0,0,1,28883,26,66,0
287,1,24,1,10,1,1,0,35443,152,45,0
288,1,39,1,28,0,0,1,32807,157,186,0
289,1,26,1,10,0,1,1,24115,152,69,0
290,1,64,1,8,0,0,1,2630,124,293,0
291,0,25,1,47,1,1,0,2630,160,299,0
292,0,22,1,13,1,1,0,37093,152,66,0
294,0,28,1,6,1,1,0,18683,152,215,0
295,1,22,1,13,1,1,0,33413,152,104,0
296,0,26,1,16,0,1,1,32232,152,238,0
297,0,22,1,46,0,1,1,31180,152,120,0
298,1,60,1,8,0,0,1,2630,124,21,0
300,1,22,1,21,1,1,0,30893,152,29,0
301,1,21,1,29,1,1,0,43798,152,258,0
302,1,67,1,28,0,0,1,32653,124,171,0
303,0,35,1,28,0,0,1,41662,150,223,0
304,0,24,1,33,1,1,0,20513,152,270,0
305,1,24,1,11,1,1,0,27771,152,233,0
306,1,24,1,15,1,1,0,23267,152,143,0
307,0,28,1,41,1,1,0,37948,152,211,0
308,0,24,1,30,1,1,0,24414,152,149,0
309,1,71,1,28,0,0,1,42881,124,105,0
310,1,26,1,35,1,1,0,51047,152,165,0
311,0,45,1,28,0,2,1,73929,157,86,0
312,0,59,1,39,0,0,1,44630,124,200,0
313,0,26,1,28,1,1,0,44082,152,197,0
314,0,24,1,46,1,1,0,21006,152,11,0
315,1,42,1,8,0,0,1,35600,124,213,0
316,1,20,1,12,0,1,1,82705,160,49,0
317,1,54,1,6,1,0,0,24515,124,93,0
318,1,48,1,8,1,0,0,41483,124,113,0
319,1,59,1,41,0,0,1,2630,156,88,0
320,1,43,1,5,1,0,1,2630,124,178,0
321,0,40,1,29,0,0,1,2630,157,77,0
322,1,77,1,50,1,0,0,42327,124,10,0
323,0,22,1,28,0,1,1,48276,152,290,0
324,0,35,1,28,0,0,1,41029,125,94,0
325,1,24,1,8,1,1,0,35981,152,231,0
326,0,24,1,33,1,1,0,32219,152,45,0
327,0,26,1,47,1,1,0,2630,152,296,0
328,1,26,1,30,1,1,0,2630,152,270,0
329,1,39,1,28,0,0,1,38036,157,10,0
330,0,52,1,45,0,0,1,23918,26,265,0
331,1,20,1,28,1,1,0,31367,160,255,0
332,1,69,1,28,0,0,1,30727,122,47,0
333,0,28,1,46,1,1,0,41526,160,122,0
335,0,22,1,8,1,1,0,48773,152,217,0
336,1,20,1,29,1,0,0,2630,157,271,0
337,1,21,1,8,1,1,0,27076,160,278,0
338,1,23,1,18,1,1,0,35970,26,16,0
339,1,36,1,8,0,0,1,30941,26,249,0
341,1,27,1,15,0,1,1,33845,152,260,0
342,1,47,1,41,1,0,0,36809,26,226,0
343,0,49,1,28,0,0,1,48505,124,271,0
344,1,25,1,25,1,1,0,32856,152,275,0
345,0,21,1,29,1,1,0,29166,152,278,0
348,0,42,1,28,0,0,1,39977,124,276,0
349,0,31,1,28,0,0,1,39423,124,190,0
350,0,60,1,36,1,0,1,36638,124,33,0
351,1,46,1,29,0,0,1,28946,124,64,0
352,0,23,1,46,1,1,0,2630,152,88,0
353,0,22,1,30,1,1,0,18202,152,107,0
354,1,20,1,8,1,1,0,38076,160,79,0
356,0,29,1,28,1,1,0,27715,152,93,0
357,1,22,1,46,1,1,1,28311,152,240,0
358,0,22,1,36,0,1,1,2630,152,211,0
361,1,44,1,28,0,0,1,39450,124,214,0
362,0,23,1,8,1,1,0,42644,152,257,0
363,0,50,1,28,0,0,1,68147,30,218,0
364,1,50,1,28,1,0,0,42024,122,224,0
365,0,44,1,41,0,0,1,30875,124,173,0
366,1,22,1,46,1,1,0,25037,152,220,0
367,1,31,1,24,0,0,1,2630,156,257,0
368,0,20,1,12,0,1,1,2630,160,203,0
369,1,52,1,30,1,1,0,2630,1,152,0
370,1,58,1,28,1,0,0,44522,23,94,0
371,1,59,1,49,0,0,1,39971,124,143,0
372,0,25,1,8,1,1,0,42307,152,213,0
374,1,44,1,46,1,0,0,50696,26,193,0
375,0,38,1,29,0,0,1,47639,122,169,0
376,1,38,1,28,0,0,1,65212,124,32,0
377,1,23,1,27,1,1,0,26287,160,199,0
378,0,78,1,46,1,0,0,31616,11,185,0
379,1,20,1,35,1,1,0,2630,160,81,0
380,1,25,1,11,0,1,0,38081,152,132,0
381,1,47,1,28,1,0,0,31269,124,213,0
382,1,66,1,31,0,2,1,2630,26,90,0
384,0,24,1,8,0,1,1,54408,152,86,0
385,1,26,1,8,1,1,0,54203,152,81,0
386,0,22,1,28,1,1,0,38452,26,51,0
387,0,34,1,28,0,0,0,46685,124,205,0
388,1,66,1,28,0,0,0,42644,122,80,0
389,0,44,1,28,0,0,1,45485,122,245,0
390,1,21,1,13,0,1,1,28733,152,70,0
391,1,20,1,46,0,1,1,49211,160,284,0
392,1,22,1,50,1,1,0,36287,152,70,0
393,0,25,1,37,0,1,1,2630,152,249,0
394,0,49,1,29,0,0,0,2630,156,265,0
395,1,50,1,31,0,0,1,2630,124,237,0
396,1,75,1,8,1,0,0,2630,26,11,0
397,1,31,1,28,0,1,1,32883,26,132,0
398,1,21,1,28,0,1,0,2630,152,186,0
399,0,47,1,15,0,0,1,2630,14,166,0
403,0,27,1,33,0,1,1,2630,152,125,0
405,1,51,1,28,0,0,1,37690,26,34,0
406,0,66,1,47,0,0,1,34757,26,92,0
407,1,45,1,28,0,0,0,42620,124,245,0
408,0,45,1,35,1,0,0,2630,26,200,0
409,0,68,1,30,1,0,0,2630,160,218,0
410,1,47,1,28,0,2,1,33145,124,237,0
411,1,28,1,6,0,0,1,31181,124,282,0
412,0,25,1,40,0,1,1,39361,152,104,0
413,0,51,1,28,0,2,1,33632,124,137,0
414,0,24,1,6,1,1,0,29371,152,168,0
415,0,25,1,43,1,1,0,27080,160,177,0
416,0,24,1,43,0,1,1,29981,152,185,0
418,1,29,1,46,0,1,1,2630,152,118,0
419,0,22,1,46,1,1,0,31506,160,113,0
420,0,38,1,38,1,0,0,37379,124,158,0
421,0,26,1,8,1,1,0,22650,152,181,0
422,1,23,1,6,1,1,0,24308,152,256,0
423,0,36,1,46,0,1,1,2630,1,94,0
424,0,37,1,28,0,0,1,20267,152,88,0
425,0,21,1,8,1,1,1,46704,152,99,0
426,0,24,1,13,0,1,1,2630,151,19,0
427,1,22,1,46,1,1,0,23810,152,220,0
428,1,54,1,28,1,0,0,34431,124,288,0
430,0,44,1,28,0,0,1,119735,152,295,0
432,1,42,1,11,0,0,1,40473,124,46,0
433,0,45,1,28,0,0,1,27616,26,134,0
434,1,25,1,16,1,1,0,2630,152,178,0
435,1,76,1,15,1,0,0,39952,14,126,0
436,1,64,1,28,0,0,1,42417,60,116,0
437,1,29,1,8,0,1,1,42992,124,241,0
438,0,28,1,14,1,1,0,27555,152,258,0
439,0,24,1,46,1,1,0,25784,152,128,0
440,0,49,1,8,0,0,1,38022,124,197,0
441,1,53,1,39,0,0,1,2630,157,83,0
443,1,54,1,33,0,0,1,39396,124,295,0
444,0,25,1,23,1,1,0,2630,152,228,0
445,0,21,1,30,1,1,0,24030,152,82,0
446,0,39,1,28,0,0,1,33016,124,74,0
448,0,24,1,32,0,1,1,2630,152,107,0
449,0,23,1,2,1,1,0,24881,152,247,0
450,1,33,1,15,1,1,0,2630,152,190,0
452,0,23,1,21,0,1,1,24388,152,270,0
453,1,47,1,46,1,0,0,2630,21,270,0
454,1,63,1,28,0,0,1,44879,124,85,0
455,0,27,1,10,0,1,1,24453,152,152,0
456,1,49,1,8,0,0,1,41648,124,98,0
457,1,29,1,28,0,1,1,40186,160,227,0
458,1,46,1,33,0,0,1,30866,124,77,0
459,1,33,1,11,1,1,0,35263,152,271,0
460,1,40,1,8,1,0,0,31839,152,165,0
461,0,30,1,49,0,1,1,27967,152,270,0
463,1,23,1,35,1,1,0,27968,152,128,0
464,1,70,1,28,0,2,1,51565,122,115,0
465,1,24,1,2,0,1,1,26707,152,224,0
466,1,42,1,33,0,2,1,35187,124,107,0
467,1,70,1,8,0,0,1,46177,26,249,0
468,0,22,1,46,0,1,1,26118,152,46,0
469,1,70,1,7,1,0,0,65479,124,213,0
470,0,23,1,28,1,1,0,38010,152,177,0
472,0,22,1,43,0,0,1,42589,157,236,0
473,0,66,1,28,0,0,1,30967,26,64,0
474,0,24,1,8,0,1,1,42636,152,155,0
475,1,40,1,28,0,0,1,37142,124,286,0
476,1,59,1,8,1,0,0,34424,26,134,0
477,0,23,1,27,0,1,1,27827,151,19,0
478,1,45,1,46,0,0,1,37726,26,186,0
479,0,22,1,44,1,1,0,37232,152,177,0
481,1,73,1,29,0,2,1,104002,3,132,0
482,0,33,1,7,0,0,0,2630,26,103,0
483,0,25,1,2,1,1,0,28342,152,113,0
486,1,69,1,46,1,0,0,44679,26,293,0
487,1,79,1,45,0,0,1,21882,124,78,0
488,0,24,1,28,1,1,0,28036,152,108,0
489,1,72,1,8,1,0,0,36462,26,61,0
491,0,62,1,28,0,0,1,31026,124,105,0
492,1,43,1,18,0,0,1,39225,124,268,0
493,1,29,1,37,0,0,1,2630,154,66,0
494,0,20,1,28,1,1,1,2630,160,120,0
495,0,27,1,46,1,1,0,28640,152,93,0
496,1,20,1,8,0,1,1,40115,160,292,0
497,1,22,1,35,0,1,1,30083,152,84,0
498,1,56,1,28,0,0,1,32018,26,183,0
499,0,28,1,50,1,1,0,26788,152,221,0
500,1,20,1,36,1,1,0,27397,152,13,0
501,1,23,1,21,0,1,1,33870,152,258,0
502,0,31,1,15,1,1,0,33444,152,233,0
503,0,31,1,15,1,1,0,40315,152,103,0
504,0,51,1,28,0,0,1,39214,26,15,0
505,0,23,1,37,1,1,0,41919,152,288,0
507,0,25,1,28,0,1,1,92716,152,247,0
508,0,25,1,28,1,1,0,74371,152,295,0
509,0,22,1,28,1,1,0,58936,152,274,0
510,0,31,1,18,1,1,0,44945,152,201,0
511,0,22,1,46,1,1,0,36430,152,241,0
512,1,29,1,7,1,1,0,2630,152,59,0
513,0,38,1,45,0,0,1,2630,156,253,0
514,0,26,1,15,1,1,0,32553,152,97,0
516,0,70,1,28,0,0,1,37783,139,102,0
517,1,58,1,28,0,0,1,41394,124,22,0
518,1,52,1,12,0,0,1,29442,124,264,0
519,1,49,1,28,0,0,1,31733,26,265,0
520,0,24,1,30,0,1,0,39055,152,127,0
521,0,24,1,30,1,1,0,28829,152,173,0
522,0,76,1,8,0,0,1,38546,163,92,0
523,0,22,1,3,0,1,1,23309,160,202,0
524,0,23,1,43,1,1,0,25272,152,25,0
525,1,24,1,8,1,1,0,60219,151,233,0
526,0,25,1,47,0,1,1,40374,152,246,0
527,1,33,1,46,1,0,0,27599,124,10,0
528,1,51,1,18,1,0,0,2630,26,88,0
529,0,48,1,27,0,0,1,34900,124,153,0
530,1,38,1,48,0,0,1,2630,124,67,0
531,0,21,1,7,1,1,0,2630,152,74,0
532,1,36,1,9,1,0,0,41410,152,174,0
533,0,22,1,28,1,1,0,24980,152,181,0
534,1,53,1,28,1,0,1,36544,26,182,0
535,1,45,1,46,1,0,0,2630,26,271,0
536,1,24,1,15,1,1,0,23479,151,259,0
537,1,46,1,11,1,0,0,36581,152,115,0
538,0,57,1,41,1,0,0,24564,152,220,0
539,1,41,1,28,0,0,1,44898,124,154,0
541,1,47,1,31,0,0,1,2630,124,80,0
542,1,51,1,41,0,2,1,31443,12,82,0
543,0,24,1,15,0,1,1,2630,152,48,0
545,0,25,1,8,1,1,0,61805,152,58,0
546,1,46,1,8,1,0,0,34727,124,229,0
548,0,48,1,28,0,0,1,47104,26,166,0
549,1,22,1,46,1,1,0,26647,160,95,0
550,1,27,1,46,1,1,0,26312,152,244,0
551,1,33,1,43,1,0,0,2630,26,149,0
552,1,23,1,47,1,1,0,35982,152,277,0
553,0,44,1,28,1,0,0,34612,26,62,0
554,0,24,1,41,1,1,0,29857,152,201,0
555,1,39,1,38,0,0,1,33149,124,20,0
556,0,21,1,13,1,1,0,24731,160,283,0
557,1,25,1,15,1,1,0,34661,160,207,0
559,0,27,1,28,1,1,0,52455,152,21,0
560,0,42,1,8,0,2,1,34393,124,209,0
561,0,23,1,44,1,1,0,28978,152,242,0
562,1,36,1,28,1,0,0,44579,26,104,0
563,1,50,1,28,0,2,1,38269,29,244,0
564,1,69,0,33,0,0,1,39730,26,53,0
565,1,24,1,11,1,1,0,36316,152,64,0
566,1,57,1,7,0,0,1,2630,124,52,0
567,0,32,1,43,0,1,0,2630,152,167,0
568,1,68,1,8,0,0,1,112974,26,206,0
570,1,37,1,30,0,0,1,29934,26,141,0
571,0,27,1,17,1,1,0,2630,151,24,0
572,0,21,1,47,0,1,1,57982,160,89,0
573,0,46,1,28,0,0,1,51568,11,216,0
574,1,55,1,28,0,0,1,54115,55,114,0
575,1,79,1,29,0,0,1,28777,26,220,0
576,0,22,1,8,0,1,1,35461,152,90,0
578,1,22,1,30,1,1,0,28001,152,226,0
579,0,24,1,28,0,1,1,31901,152,17,0
580,1,32,1,21,1,1,0,25562,152,261,0
581,1,40,1,28,0,0,1,34364,124,41,0
582,0,23,1,8,1,1,0,48251,152,202,0
583,1,56,1,6,1,0,1,20472,26,288,0
585,1,24,1,15,1,1,0,33613,152,205,0
586,0,27,1,33,1,1,0,2630,160,266,0
587,1,21,1,26,0,1,1,25205,160,256,0
588,0,72,1,28,0,0,1,61819,122,35,0
589,0,25,1,6,0,1,1,2630,152,288,0
590,0,21,1,7,1,1,0,48103,160,135,0
591,1,24,1,45,0,1,1,19848,152,115,0
592,0,25,1,24,1,1,0,2630,152,36,0
593,1,26,1,30,1,1,0,22102,152,97,0
594,0,75,1,46,1,0,0,30356,26,288,0
595,0,24,1,41,1,1,1,21093,160,53,0
596,1,66,1,14,0,0,1,40223,124,200,0
597,0,23,1,41,1,1,0,32465,152,47,0
600,0,25,1,23,1,1,0,19298,152,140,0
601,1,21,1,29,1,1,0,28450,152,17,0
602,0,23,1,28,1,1,0,28155,152,83,0
603,0,38,1,28,0,0,1,26103,154,121,0
604,1,44,1,35,0,0,1,2630,124,245,0
605,1,25,1,28,0,1,1,60550,152,269,0
606,1,38,1,28,0,0,1,52970,124,106,0
607,0,24,1,13,1,1,0,22649,152,243,0
608,0,23,1,27,0,1,0,2630,152,103,0
609,0,43,1,28,1,0,0,2630,124,248,0
610,0,30,1,26,0,1,1,2630,154,74,0
611,0,49,1,28,1,0,0,2630,124,100,0
612,0,22,1,30,1,1,0,30724,152,271,0
614,1,72,1,28,0,0,1,45683,26,270,0
615,1,25,1,8,1,1,0,63124,152,136,0
616,1,64,1,28,1,0,0,30068,26,237,0
618,1,84,1,28,1,0,0,49367,122,31,0
619,1,46,1,28,0,2,1,42534,124,168,0
621,1,73,1,46,0,0,1,41623,26,146,0
623,1,47,1,9,0,0,1,37752,26,235,0
624,1,55,1,28,1,0,1,42394,26,142,0
625,0,45,1,37,0,0,1,35692,152,235,0
626,0,24,1,11,1,1,0,38608,152,107,0
627,1,44,1,23,0,0,1,42609,124,83,0
629,0,24,1,3,1,1,0,28239,152,67,0
